FOR;H;
S;5.447178;0.156285
;0.824547;0.904691
S;0.183192;1
FOR;He;
S;13.6267;0.17523
;1.99935;0.893483
S;0.382993;1
FOR;Li;
S;36.8382;0.0696686
;5.48172;0.381346
;1.11327;0.681702
S;0.540205;-0.263127
;0.102255;1.14339
S;0.028565;1
P;0.540205;0.161546
;0.102255;0.915663
P;0.028565;1
FOR;Be;
S;71.8876;0.0644263
;10.7289;0.366096
;2.22205;0.695934
S;1.29548;-0.421064
;0.268881;1.22407
S;0.07735;1
P;1.29548;0.205132
;0.268881;0.882528
P;0.07735;1
FOR;B;
S;116.434;0.0629605
;17.4314;0.363304
;3.68016;0.697255
S;2.28187;-0.368662
;0.465248;1.19944
S;0.124328;1
P;2.28187;0.231152
;0.465248;0.866764
P;0.124328;1
FOR;C;
S;172.256;0.0617669
;25.9109;0.358794
;5.53335;0.700713
S;3.66498;-0.395897
;0.770545;1.21584
S;0.195857;1
P;3.66498;0.23646
;0.770545;0.860619
P;0.195857;1
FOR;N;
S;242.766;0.0598657
;36.4851;0.352955
;7.81449;0.706513
S;5.42522;-0.413301
;1.14915;1.22442
S;0.283205;1
P;5.42522;0.237972
;1.14915;0.858953
P;0.283205;1
FOR;O;
S;322.037;0.0592394
;48.4308;0.3515
;10.4206;0.707658
S;7.40294;-0.404453
;1.5762;1.22156
S;0.373684;1
P;7.40294;0.244586
;1.5762;0.853955
P;0.373684;1
FOR;F;
S;413.801;0.0585483
;62.2446;0.349308
;13.434;0.709632
S;9.77759;-0.407327
;2.08617;1.22314
S;0.482383;1
P;9.77759;0.24668
;2.08617;0.852321
P;0.482383;1
FOR;Ne;
S;515.724;0.058143
;77.6538;0.347951
;16.8136;0.710714
S;12.483;-0.409922
;2.66451;1.22431
S;0.60625;1
P;12.483;0.24746
;2.66451;0.851743
P;0.60625;1
FOR;Na;
S;547.613;0.0674911
;82.0678;0.393505
;17.6917;0.665605
S;17.5407;-0.111937
;3.79398;0.254654
;0.906441;0.844417
S;0.501824;-0.21966
;0.0609458;1.08912
S;0.0244349;1
P;17.5407;0.128233
;3.79398;0.471533
;0.906441;0.604273
P;0.501824;0.0090665
;0.0609458;0.997202
P;0.0244349;1
FOR;Mg;
S;652.841;0.0675982
;98.3805;0.391778
;21.2996;0.666661
S;23.3727;-0.110246
;5.19953;0.184119
;1.31508;0.896399
S;0.611349;-0.361101
;0.141841;1.21505
S;0.0464011;1
P;23.3727;0.121014
;5.19953;0.46281
;1.31508;0.606907
P;0.611349;0.0242633
;0.141841;0.986673
P;0.0464011;1
FOR;Al;
S;775.737;0.0668347
;116.952;0.389061
;25.3326;0.669468
S;29.4796;-0.107902
;6.63314;0.146245
;1.72675;0.92373
S;0.94616;-0.320327
;0.202506;1.18412
S;0.0639088;1
P;29.4796;0.117574
;6.63314;0.461174
;1.72675;0.605535
P;0.94616;0.0519383
;0.202506;0.97266
P;0.0639088;1
FOR;Si;
S;910.655;0.0660823
;137.336;0.386229
;29.7601;0.67238
S;36.6716;-0.104511
;8.31729;0.10741
;2.21645;0.951446
S;1.07913;-0.376108
;0.302422;1.25165
S;0.0933392;1
P;36.6716;0.113355
;8.31729;0.457578
;2.21645;0.607427
P;1.07913;0.067103
;0.302422;0.956883
P;0.0933392;1
FOR;P;
S;1054.9;0.065541
;159.195;0.384036
;34.5304;0.674541
S;44.2866;-0.10213
;10.1019;0.081592
;2.73997;0.969788
S;1.21865;-0.371495
;0.395546;1.27099
S;0.122811;1
P;44.2866;0.110851
;10.1019;0.456495
;2.73997;0.606936
P;1.21865;0.091582
;0.395546;0.934924
P;0.122811;1
FOR;S;
S;1210.62;0.065007
;182.747;0.38204
;39.6673;0.676545
S;52.2236;-0.10031
;11.9629;0.065088
;3.28911;0.981455
S;1.22384;-0.286089
;0.457303;1.22806
S;0.142269;1
P;52.2236;0.109646
;11.9629;0.457649
;3.28911;0.604261
P;1.22384;0.164777
;0.457303;0.870855
P;0.142269;1
FOR;Cl;
S;1376.4;0.0645827
;207.857;0.380363
;45.1554;0.67819
S;60.8014;-0.0987639
;13.9765;0.0511338
;3.8871;0.991337
S;1.35299;-0.222401
;0.526955;1.18252
S;0.166714;1
P;60.8014;0.108598
;13.9765;0.458682
;3.8871;0.601962
P;1.35299;0.219216
;0.526955;0.822321
P;0.166714;1
FOR;Ar;
S;1553.71;0.0641707
;234.678;0.378797
;51.0121;0.679752
S;70.0453;-0.0974661
;16.1473;0.0390569
;4.53492;0.999916
S;1.54209;-0.176866
;0.607267;1.1469
S;0.195373;1
P;70.0453;0.107619
;16.1473;0.459576
;4.53492;0.600041
P;1.54209;0.255687
;0.607267;0.789842
P;0.195373;1
FOR;K;
S;1721.1755;0.0648747
;260.01633;0.3808593
;56.624554;0.6773681
S;71.5572;-0.1093429
;15.43894;0.113064
;4.474551;0.9462575
S;4.121275;-0.269973
;1.188621;0.3646323
;0.375674;0.8107533
S;0.244577;-0.268825
;0.038972;1.128983
S;0.016063;1
P;71.5572;0.1339654
;15.43894;0.5302673
;4.474551;0.5117992
P;4.121275;0.01994922
;1.188621;0.4340213
;0.375674;0.6453226
P;0.244577;0.000308104
;0.038972;0.9998787
P;0.016063;1
FOR;Ca;
S;1915.4348;0.064624
;289.53324;0.379838
;63.106352;0.678329
S;80.39744;-0.109303
;17.33075;0.1089
;5.083624;0.949277
S;4.782229;-0.281607
;1.462558;0.341051
;0.479223;0.838104
S;0.439682;-0.269705
;0.05913;1.113293
S;0.023897;1
P;80.39744;0.135433
;17.33075;0.537222
;5.083624;0.501804
P;4.782229;0.019009
;1.462558;0.436038
;0.479223;0.638671
P;0.439682;0.000308
;0.05913;0.999896
P;0.023897;1
FOR;;
