FOR;H;
S;18.731137;0.0334946
;2.8253944;0.2347269
;0.6401217;0.8137573
S;0.1612778;1
FOR;He;
S;38.421634;0.023766
;5.77803;0.154679
;1.241774;0.46963
S;0.297964;1
FOR;Li;
S;275.39444;0.00612185
;41.435175;0.04511296
;9.3669938;0.19269415
;2.5377253;0.46854421
;0.7466365;0.44060752
S;0.7345643;-0.2525368
;0.087198;1.0973408
S;0.0404387;1
P;0.7345643;0.14359173
;0.087198;0.94780305
P;0.0404387;1
FOR;Be;
S;554.01;0.00540997
;83.2631;0.0402515
;18.8635;0.176858
;5.17782;0.452559
;1.55602;0.470293
S;1.441752491;-0.477429
;0.30186106;1.24745
S;0.100961388;1
P;1.441752491;0.201142
;0.30186106;0.884483
P;0.100961388;1
FOR;B;
S;330.75285;0.0179942
;49.843865;0.1246937
;11.117054;0.4343354
;2.9227243;0.5609794
S;5.6812646;-0.1303871
;1.4544046;-0.2514344
;0.4283786;1.2051292
S;0.1442192;1
P;5.6812646;0.0637429
;1.4544046;0.2761331
;0.4283786;0.7773866
P;0.1442192;1
FOR;C;
S;486.96693;0.0177258
;73.371094;0.1234787
;16.413458;0.4338754
;4.3449836;0.5615042
S;8.6735253;-0.1213837
;2.0966193;-0.2273385
;0.6046513;1.1851739
S;0.1835578;1
P;8.6735253;0.0635454
;2.0966193;0.2982678
;0.6046513;0.7621032
P;0.1835578;1
FOR;N;
S;671.2795;0.017598251
;101.2017;0.122846241
;22.69997;0.433782141
;6.040609;0.561418217
S;12.3935997;-0.117489299
;2.9223828;-0.213994016
;0.83252808;1.17450211
S;0.225964;1
P;12.3935997;0.064020344
;2.9223828;0.311202555
;0.83252808;0.752748239
P;0.225964;1
FOR;O;
S;883.27286;0.0175506
;133.12928;0.1228292
;29.906408;0.4348836
;7.9786772;0.5600108
S;16.194447;-0.113401
;3.780086;-0.1772865
;1.0709836;1.1504079
S;0.2838798;1
P;16.194447;0.0685453
;3.780086;0.3312254
;1.0709836;0.7346079
P;0.2838798;1
FOR;F;
S;1126.163;0.0174758
;169.7432;0.122523
;38.18151;0.434999
;10.21204;0.559812
S;21.49537;-0.111057
;4.989778;-0.168322
;1.403574;1.143626
S;0.3730318;1
P;21.49537;0.069888
;4.989778;0.339388
;1.403574;0.727959
P;0.3730318;1
FOR;Ne;
S;1397.9321;0.017423805
;210.76978;0.122272745
;47.467257;0.435014232
;12.722626;0.559714642
S;27.213033;-0.109609439
;6.2941344;-0.16412489
;1.7600513;1.14015159
S;0.461867;1
P;27.213033;0.070440307
;6.2941344;0.343993047
;1.7600513;0.72451496
P;0.461867;1
FOR;P;
S;3018.6718;0.018521314
;455.127121;0.129904864
;102.31473;0.455100288
;27.6178473;0.533131861
S;114.429401;-0.024750296
;26.5822959;-0.13509246
;7.8718889;0.22773608
;2.48785725;0.875593116
S;50.750619;-0.045119223
;1.67286242;-0.85047299
;0.621097412;1.59628585
S;0.167016007;1
P;114.429401;0.027414003
;26.5822959;0.169079142
;7.8718889;0.469102089
;2.48785725;0.518153059
P;50.750619;0.003779071
;1.67286242;-0.046343841
;0.621097412;1.03394429
P;0.167016007;1
FOR;S;
S;3442.1244;0.0184921
;518.9131;0.129822
;116.6909;0.4550418
;31.571647;0.5330084
S;127.44058;-0.0272646
;29.747667;-0.1424834
;8.8346642;0.2597043
;2.8173898;0.8525473
S;3.7291854;-0.2775315
;1.4067702;-0.4576435
;0.54811;1.4316843
S;0.1703809;1
P;127.44058;0.029152
;29.747667;0.1779597
;8.8346642;0.4836237
;2.8173898;0.4942553
P;3.7291854;-0.0337509
;1.4067702;0.145711
;0.54811;0.8982887
P;0.1703809;1
FOR;Cl;
S;3910.3026;0.0183794
;589.5518;0.1291401
;132.59392;0.4540448
;35.903542;0.5344394
S;147.76535;-0.0267433
;34.506075;-0.1446911
;10.286471;0.2517035
;3.3111473;0.8598203
S;4.28028491;-0.2703963
;1.64101667;-0.3416297
;0.614478503;1.3500245
S;0.195659411;1
P;147.76535;0.0288645
;34.506075;0.1779647
;10.286471;0.4869998
;3.3111473;0.4890184
P;4.28028491;-0.0367028
;1.64101667;0.1918492
;0.614478503;0.8643376
P;0.195659411;1
FOR;;
