FOR;H;
S;33.87;0.006068
;5.095;0.045308
;1.159;0.202822
S;0.3258;1
S;0.1027;1
P;1.407;1
P;0.388;1
D;1.057;1
FOR;Li;
S;5988;0.000133
;898.9;0.001025
;205.9;0.005272
;59.24;0.020929
;19.87;0.06634
;7.406;0.165775
;2.93;0.315038
;1.189;0.393523
;0.4798;0.19087
S;5988;-0.000021
;898.9;-0.000161
;205.9;-0.00082
;59.24;-0.003326
;19.87;-0.010519
;7.406;-0.028097
;2.93;-0.055936
;1.189;-0.099237
;0.4798;-0.112189
S;0.07509;1
S;0.02832;1
P;3.266;0.00863
;0.6511;0.047538
;0.1696;0.209772
P;0.05578;1
P;0.0205;1
D;0.1874;1
D;0.0801;1
F;0.1829;1
FOR;C;
S;8236;0.000531
;1235;0.004108
;280.8;0.021087
;79.27;0.081853
;25.59;0.234817
;8.997;0.434401
;3.319;0.346129
;0.3643;-0.008983
S;8236;-0.000113
;1235;-0.000878
;280.8;-0.00454
;79.27;-0.018133
;25.59;-0.05576
;8.997;-0.126895
;3.319;-0.170352
;0.3643;0.598684
S;0.9059;1
S;0.1285;1
P;18.71;0.014031
;4.133;0.086866
;1.2;0.290216
P;0.3827;1
P;0.1209;1
D;1.097;1
D;0.318;1
F;0.761;1
FOR;O;
S;15330;0.000508
;2299;0.003929
;522.4;0.020243
;147.3;0.079181
;47.55;0.230687
;16.76;0.433118
;6.207;0.35026
;0.6882;-0.008154
S;15330;-0.000115
;2299;-0.000895
;522.4;-0.004636
;147.3;-0.018724
;47.55;-0.058463
;16.76;-0.136463
;6.207;-0.17574
;0.6882;0.603418
S;1.752;1
S;0.2384;1
P;34.46;0.015928
;7.749;0.09974
;2.28;0.310492
P;0.7156;1
P;0.214;1
D;2.314;1
D;0.645;1
F;1.428;1
FOR;;
